Run_number,Counts
32.0,-2682.0
32.0,155.0
32.0,-223.0
32.0,-1381.0
32.0,3803.0
32.0,4194.0
32.0,5906.0
32.0,6019.0
32.0,1782.0
32.0,5169.0
32.0,4740.0
32.0,4424.0
32.0,4147.0
32.0,8903.0
32.0,6315.0
32.0,6274.0
32.0,3943.0
32.0,4318.0
32.0,5800.0
32.0,6546.0
32.0,5231.0
32.0,6543.0
32.0,4922.0
32.0,2164.0
32.0,2898.0
32.0,3106.0
32.0,4969.0
32.0,6500.0
32.0,3615.0
32.0,3883.0
32.0,5626.0
32.0,5797.0
32.0,5283.0
32.0,5554.0
32.0,3808.0
32.0,3943.0
32.0,1761.0
32.0,4621.0
32.0,4347.0
32.0,5512.0
32.0,1740.0
32.0,3827.0
32.0,4111.0
32.0,4526.0
32.0,741.0
32.0,5292.0
32.0,3625.0
32.0,3214.0
32.0,3486.0
32.0,4463.0
32.0,5824.0
32.0,5729.0
32.0,4982.0
32.0,5688.0
32.0,3323.0
32.0,2708.0
32.0,3967.0
32.0,6150.0
32.0,3773.0
32.0,4442.0
32.0,6533.0
32.0,7806.0
32.0,5336.0
32.0,4114.0
32.0,3932.0
32.0,3053.0
32.0,3149.0
32.0,8786.0
32.0,6231.0
32.0,5530.0
32.0,6393.0
32.0,7532.0
32.0,5776.0
32.0,6459.0
32.0,7522.0
32.0,7312.0
32.0,6137.0
32.0,9222.0
32.0,3235.0
32.0,5350.0
32.0,4229.0
32.0,4657.0
32.0,4205.0
32.0,3962.0
32.0,4329.0
32.0,6600.0
32.0,4917.0
32.0,8131.0
32.0,6941.0
32.0,6571.0
32.0,4840.0
32.0,5480.0
32.0,4986.0
32.0,6602.0
32.0,4126.0
32.0,5435.0
32.0,4416.0
32.0,5214.0
32.0,4849.0
32.0,8483.0
32.0,2279609.0
32.0,2328197.0
32.0,2373647.0
32.0,2447908.0
32.0,2486530.0
32.0,2506074.0
32.0,2542936.0
32.0,2592485.0
32.0,2633071.0
32.0,2658845.0
32.0,2666540.0
32.0,2726573.0
32.0,2753528.0
32.0,2751347.0
32.0,2824168.0
32.0,2861027.0
32.0,2915049.0
32.0,3018055.0
32.0,2998786.0
32.0,3022271.0
32.0,3017356.0
32.0,3096409.0
32.0,3131844.0
32.0,3154004.0
32.0,3131721.0
32.0,3174804.0
