Run_number,Counts
0.0,10322.0
0.0,1582.0
0.0,237.0
0.0,1593.0
0.0,4586.0
0.0,5232.0
0.0,3871.0
0.0,3509.0
0.0,956.0
0.0,2495.0
0.0,2211.0
0.0,4374.0
0.0,5628.0
0.0,2432.0
0.0,3320.0
0.0,6404.0
0.0,4530.0
0.0,2647.0
0.0,5895.0
0.0,5818.0
0.0,5582.0
0.0,5866.0
0.0,4039.0
0.0,4786.0
0.0,4245.0
0.0,2244.0
0.0,985.0
0.0,515.0
0.0,4029.0
0.0,2874.0
0.0,5808.0
0.0,2592.0
0.0,5616.0
0.0,6206.0
0.0,3997.0
0.0,4767.0
0.0,6015.0
0.0,1607.0
0.0,1420.0
0.0,6164.0
0.0,3880.0
0.0,4384.0
0.0,3584.0
0.0,3766.0
0.0,6278.0
0.0,4765.0
0.0,3357.0
0.0,1688.0
0.0,70.0
0.0,5100.0
0.0,4326.0
0.0,3998.0
0.0,4167.0
0.0,3514.0
0.0,3120.0
0.0,5032.0
0.0,3209.0
0.0,3828.0
0.0,6175.0
0.0,1930.0
0.0,4867.0
0.0,3731.0
0.0,1460.0
0.0,5056.0
0.0,4737.0
0.0,4837.0
0.0,4464.0
0.0,4189.0
0.0,3107.0
0.0,5972.0
0.0,2451.0
0.0,14.0
0.0,3856.0
0.0,4939.0
0.0,1896.0
0.0,5761.0
0.0,3951.0
0.0,6165.0
0.0,2966.0
0.0,5020.0
0.0,5465.0
0.0,2990.0
0.0,3838.0
0.0,5786.0
0.0,4157.0
0.0,3897.0
0.0,2725.0
0.0,5162.0
0.0,5357.0
0.0,3270.0
0.0,5329.0
0.0,3645.0
0.0,3725.0
0.0,6219.0
0.0,4283.0
0.0,2871.0
0.0,5102.0
0.0,5405.0
0.0,3015.0
0.0,2780.0
0.0,3559.0
0.0,3461.0
0.0,2676.0
0.0,948.0
0.0,1004.0
0.0,1675.0
0.0,2261.0
0.0,61.0
0.0,2633.0
0.0,4165.0
0.0,3351.0
0.0,2344.0
0.0,2614.0
0.0,2706.0
0.0,3976.0
0.0,3347.0
0.0,2055.0
0.0,-871.0
0.0,3683.0
0.0,1293.0
0.0,4366.0
0.0,3966.0
0.0,1623.0
0.0,4669.0
0.0,5399.0
0.0,4584.0
0.0,1568.0
0.0,3573.0
0.0,7819.0
0.0,6929.0
0.0,3488.0
0.0,4259.0
0.0,4432.0
0.0,7410.0
0.0,7098.0
0.0,7768.0
0.0,4548.0
0.0,7004.0
0.0,4044.0
0.0,4758.0
0.0,3760.0
0.0,4282.0
0.0,2504.0
0.0,3733.0
0.0,3341.0
0.0,5882.0
0.0,5030.0
0.0,5416.0
0.0,3612.0
0.0,5540.0
0.0,5012.0
0.0,733.0
0.0,3306.0
0.0,115.0
0.0,1275.0
0.0,1560.0
0.0,3824.0
0.0,3571.0
0.0,2364.0
0.0,3981.0
0.0,5939.0
0.0,2691.0
0.0,4517.0
0.0,1371.0
0.0,2086.0
0.0,7789.0
0.0,1295.0
0.0,6661.0
0.0,4135.0
0.0,4381.0
0.0,7228.0
0.0,6783.0
0.0,3887.0
0.0,4916.0
0.0,2986.0
0.0,4885.0
0.0,3934.0
0.0,5781.0
0.0,15149.0
0.0,16180.0
0.0,16704.0
0.0,18112.0
0.0,17612.0
0.0,15614.0
0.0,12668.0
0.0,14839.0
0.0,13942.0
0.0,18037.0
0.0,16032.0
0.0,11885.0
0.0,13441.0
0.0,14808.0
0.0,13596.0
0.0,17987.0
0.0,15066.0
0.0,15703.0
0.0,15399.0
0.0,14472.0
0.0,14839.0
0.0,12676.0
0.0,18189.0
0.0,15941.0
0.0,12582.0
0.0,19653.0
0.0,18208.0
0.0,15313.0
0.0,17647.0
0.0,16010.0
0.0,19861.0
0.0,13742.0
0.0,17275.0
0.0,14936.0
0.0,16305.0
0.0,14297.0
0.0,15799.0
0.0,14459.0
0.0,13735.0
0.0,15501.0
0.0,16405.0
0.0,15843.0
0.0,14047.0
0.0,14384.0
0.0,14015.0
0.0,13286.0
0.0,13716.0
0.0,16670.0
0.0,15675.0
0.0,15921.0
0.0,16640.0
0.0,18437.0
0.0,17647.0
0.0,14332.0
0.0,17298.0
0.0,17332.0
0.0,16249.0
0.0,16470.0
0.0,19747.0
0.0,16632.0
0.0,19036.0
0.0,14359.0
0.0,16508.0
0.0,14992.0
0.0,14292.0
0.0,16016.0
0.0,15386.0
0.0,17821.0
0.0,15240.0
0.0,16172.0
0.0,16906.0
0.0,16792.0
0.0,17900.0
0.0,15160.0
0.0,17738.0
0.0,14140.0
0.0,14507.0
0.0,17104.0
0.0,18195.0
0.0,18498.0
0.0,17234.0
0.0,16983.0
0.0,19002.0
0.0,17737.0
0.0,15449.0
0.0,19007.0
0.0,17548.0
0.0,16223.0
0.0,14871.0
0.0,14646.0
0.0,13729.0
0.0,16135.0
0.0,15263.0
0.0,15729.0
0.0,13973.0
0.0,17594.0
0.0,15197.0
0.0,15492.0
0.0,17806.0
0.0,15353.0
0.0,17892.0
0.0,13626.0
0.0,13135.0
0.0,11100.0
0.0,14859.0
0.0,12029.0
0.0,14855.0
0.0,14868.0
0.0,14563.0
0.0,15315.0
0.0,17252.0
0.0,16455.0
0.0,17630.0
0.0,16724.0
0.0,16161.0
0.0,16254.0
0.0,16363.0
0.0,17477.0
0.0,14295.0
0.0,12613.0
0.0,12737.0
0.0,3426.0
0.0,6139.0
0.0,3658.0
0.0,3857.0
0.0,2739.0
0.0,2632.0
0.0,3827.0
0.0,3877.0
0.0,1238.0
0.0,6332.0
0.0,3925.0
0.0,1860.0
0.0,1657.0
0.0,913.0
0.0,-34.0
0.0,-738.0
0.0,2029.0
0.0,1195.0
0.0,3112.0
0.0,597.0
0.0,1604.0
0.0,4124.0
0.0,283.0
0.0,4787.0
0.0,478.0
0.0,2078.0
0.0,1640.0
0.0,2987.0
0.0,2655.0
0.0,3878.0
0.0,1220.0
0.0,3183.0
0.0,-138.0
0.0,23.0
0.0,-1079.0
0.0,2663.0
0.0,1238.0
0.0,-268.0
0.0,1751.0
0.0,1694.0
0.0,-453.0
0.0,-1272.0
0.0,950.0
0.0,1133.0
0.0,4613.0
0.0,33.0
0.0,1235.0
0.0,2470.0
0.0,2894.0
0.0,881.0
0.0,-3070.0
0.0,1102.0
0.0,3319.0
0.0,4544.0
0.0,-16.0
0.0,5122.0
0.0,70.0
0.0,3659.0
0.0,4776.0
0.0,1894.0
0.0,6235.0
0.0,1565.0
0.0,1878.0
0.0,3584.0
0.0,1739.0
0.0,2089.0
0.0,3468.0
0.0,4192.0
0.0,735.0
0.0,847.0
0.0,3386.0
0.0,2637.0
0.0,1886.0
0.0,3651.0
0.0,784.0
0.0,6074.0
0.0,1916.0
0.0,4329.0
0.0,3695.0
0.0,246.0
0.0,3829.0
0.0,3109.0
0.0,4873.0
0.0,-97.0
0.0,-454.0
0.0,2539.0
0.0,6045.0
0.0,3417.0
0.0,2481.0
0.0,3198.0
0.0,2010.0
0.0,-385.0
0.0,1626.0
0.0,4510.0
0.0,1335.0
0.0,4041.0
0.0,2551.0
0.0,2386.0
0.0,2361.0
0.0,1303.0
1.0,11047.0
1.0,208.0
1.0,688.0
1.0,1720.0
1.0,976.0
1.0,2073.0
1.0,1689.0
1.0,1986.0
1.0,241.0
1.0,3414.0
1.0,901.0
1.0,2686.0
1.0,4037.0
1.0,3526.0
1.0,342.0
1.0,2844.0
1.0,2868.0
1.0,846.0
1.0,1046.0
1.0,1198.0
1.0,1941.0
1.0,1602.0
1.0,605.0
1.0,1317.0
1.0,2504.0
1.0,2711.0
1.0,984.0
1.0,1326.0
1.0,1044.0
1.0,2646.0
1.0,3973.0
1.0,4590.0
1.0,3796.0
1.0,317.0
1.0,2208.0
1.0,-983.0
1.0,3163.0
1.0,813.0
1.0,2927.0
1.0,-1199.0
1.0,1992.0
1.0,7.0
1.0,811.0
1.0,2744.0
1.0,1852.0
1.0,1471.0
1.0,4767.0
1.0,1024.0
1.0,1245.0
1.0,3343.0
1.0,96.0
1.0,5049.0
1.0,1508.0
1.0,1738.0
1.0,-952.0
1.0,1227.0
1.0,-1144.0
1.0,-373.0
1.0,646.0
1.0,-488.0
1.0,1450.0
1.0,-87.0
1.0,477.0
1.0,-949.0
1.0,1304.0
1.0,-100.0
1.0,370.0
1.0,975.0
1.0,584.0
1.0,863.0
1.0,-155.0
1.0,1003.0
1.0,424.0
1.0,2820.0
1.0,-535.0
1.0,1821.0
1.0,2181.0
1.0,-2888.0
1.0,1506.0
1.0,-1915.0
1.0,-1011.0
1.0,1448.0
1.0,-675.0
1.0,-1357.0
1.0,-1963.0
1.0,1071.0
1.0,1071.0
1.0,4650.0
1.0,-1565.0
1.0,1875.0
1.0,303.0
1.0,-1207.0
1.0,-509.0
1.0,-3120.0
1.0,-524.0
1.0,-261.0
1.0,1128.0
1.0,-1600.0
1.0,-239.0
1.0,-3485.0
1.0,-275.0
1.0,-217.0
1.0,321.0
1.0,-810.0
1.0,-2191.0
1.0,-1640.0
1.0,1870.0
1.0,-1053.0
1.0,-1505.0
1.0,-878.0
1.0,-3527.0
1.0,-1028.0
1.0,-2106.0
1.0,432.0
1.0,-1248.0
1.0,-169.0
1.0,-1419.0
1.0,-1874.0
1.0,-328.0
1.0,-1553.0
1.0,-523.0
1.0,394.0
1.0,521.0
1.0,1552.0
1.0,-2612.0
1.0,-1502.0
1.0,-3581.0
1.0,-2606.0
1.0,-1981.0
1.0,-3999.0
1.0,-2860.0
1.0,-1211.0
1.0,-541.0
1.0,-3048.0
1.0,-170.0
1.0,-105.0
1.0,-4700.0
1.0,2506.0
1.0,7823.0
1.0,11582.0
1.0,12158.0
1.0,9814.0
1.0,9707.0
1.0,8833.0
1.0,11760.0
1.0,12562.0
1.0,12188.0
1.0,9389.0
1.0,14071.0
1.0,10834.0
1.0,9167.0
1.0,10999.0
1.0,10596.0
1.0,11726.0
1.0,9814.0
1.0,13266.0
1.0,6362.0
1.0,10766.0
1.0,11953.0
1.0,6634.0
1.0,12224.0
1.0,10152.0
1.0,9914.0
1.0,12182.0
1.0,10798.0
1.0,11331.0
1.0,11394.0
1.0,10820.0
1.0,12972.0
1.0,8959.0
1.0,14532.0
1.0,9015.0
1.0,11188.0
1.0,9590.0
1.0,10914.0
1.0,10914.0
1.0,11890.0
1.0,8708.0
1.0,10326.0
1.0,8843.0
1.0,10400.0
1.0,11164.0
1.0,11568.0
1.0,10325.0
1.0,13308.0
1.0,8715.0
1.0,14094.0
1.0,11356.0
1.0,8473.0
1.0,12583.0
1.0,12514.0
1.0,11828.0
1.0,12864.0
1.0,11158.0
1.0,11782.0
1.0,13037.0
1.0,8833.0
1.0,11676.0
1.0,10080.0
1.0,11750.0
1.0,12217.0
1.0,12660.0
1.0,10112.0
1.0,10730.0
1.0,10376.0
1.0,11720.0
1.0,11067.0
1.0,12459.0
1.0,10543.0
1.0,10576.0
1.0,9925.0
1.0,9202.0
1.0,11867.0
1.0,12687.0
1.0,12993.0
1.0,13705.0
1.0,10696.0
1.0,11671.0
1.0,10258.0
1.0,10610.0
1.0,10697.0
1.0,11503.0
1.0,13351.0
1.0,14198.0
1.0,16470.0
1.0,13005.0
1.0,13133.0
1.0,14993.0
1.0,12768.0
1.0,12548.0
1.0,9817.0
1.0,14259.0
1.0,14063.0
1.0,10865.0
1.0,12160.0
1.0,8943.0
1.0,20791.0
1.0,23977.0
1.0,28754.0
1.0,25370.0
1.0,26158.0
1.0,25929.0
1.0,23535.0
1.0,26199.0
1.0,26874.0
1.0,24802.0
1.0,22163.0
1.0,26532.0
1.0,23243.0
1.0,23583.0
1.0,23983.0
1.0,25011.0
1.0,22388.0
1.0,23044.0
1.0,22571.0
1.0,21384.0
1.0,23381.0
1.0,21998.0
1.0,26059.0
1.0,19659.0
1.0,21490.0
1.0,20042.0
1.0,25112.0
1.0,23323.0
1.0,19998.0
1.0,23359.0
1.0,23040.0
1.0,24100.0
1.0,26143.0
1.0,22929.0
1.0,25279.0
1.0,22573.0
1.0,23056.0
1.0,24593.0
1.0,26396.0
1.0,26032.0
1.0,24381.0
1.0,26676.0
1.0,22892.0
1.0,27559.0
1.0,27215.0
1.0,25523.0
1.0,27515.0
1.0,23736.0
1.0,26679.0
1.0,23694.0
1.0,26595.0
1.0,29239.0
1.0,24724.0
1.0,37830.0
1.0,34472.0
1.0,38548.0
1.0,38580.0
1.0,38543.0
1.0,38170.0
1.0,35171.0
1.0,39124.0
1.0,36738.0
1.0,34686.0
1.0,5029.0
1.0,4230.0
1.0,4790.0
1.0,4364.0
1.0,3207.0
1.0,3432.0
1.0,2408.0
1.0,4158.0
1.0,-673.0
1.0,1366.0
1.0,746.0
1.0,1740.0
1.0,1165.0
1.0,1782.0
1.0,4068.0
1.0,1448.0
1.0,2596.0
1.0,1705.0
1.0,1295.0
1.0,4715.0
1.0,1945.0
1.0,6024.0
1.0,2040.0
1.0,82.0
1.0,1963.0
1.0,380.0
1.0,1675.0
1.0,1530.0
1.0,957.0
1.0,114.0
1.0,2016.0
1.0,3934.0
1.0,4589.0
1.0,4211.0
1.0,2516.0
1.0,3387.0
1.0,1465.0
1.0,2057.0
1.0,1713.0
1.0,3687.0
1.0,4968.0
1.0,3447.0
1.0,4312.0
1.0,3594.0
1.0,-37.0
1.0,3571.0
1.0,1895.0
1.0,3738.0
1.0,4160.0
1.0,4162.0
1.0,2443.0
1.0,5841.0
1.0,6072.0
1.0,6871.0
1.0,4709.0
1.0,4065.0
1.0,4803.0
1.0,4926.0
1.0,4092.0
1.0,2586.0
1.0,2451.0
1.0,1481.0
1.0,3182.0
1.0,3869.0
1.0,2908.0
1.0,766.0
1.0,5911.0
1.0,2897.0
1.0,129.0
1.0,4731.0
1.0,2030.0
1.0,2969.0
1.0,2595.0
1.0,952.0
1.0,147.0
1.0,5099.0
1.0,5191.0
1.0,3880.0
1.0,3888.0
1.0,3938.0
1.0,1687.0
1.0,6273.0
1.0,4579.0
1.0,3933.0
1.0,2232.0
1.0,-355.0
1.0,500.0
1.0,589.0
1.0,-21.0
1.0,1612.0
1.0,-913.0
1.0,-743.0
1.0,1689.0
1.0,1605.0
1.0,4198.0
1.0,2783.0
1.0,2713.0
1.0,-253.0
1.0,3772.0
1.0,3334.0
2.0,7721.0
2.0,-1813.0
2.0,-1563.0
2.0,-1232.0
2.0,-2663.0
2.0,-2454.0
2.0,-2166.0
2.0,-4216.0
2.0,-2358.0
2.0,-1899.0
2.0,-490.0
2.0,-4225.0
2.0,-4192.0
2.0,-5891.0
2.0,-2650.0
2.0,-1437.0
2.0,-3335.0
2.0,-3759.0
2.0,-3068.0
2.0,-2672.0
2.0,-3050.0
2.0,-1578.0
2.0,-4996.0
2.0,-2690.0
2.0,-2655.0
2.0,-495.0
2.0,-2068.0
2.0,-2296.0
2.0,-2537.0
2.0,-2395.0
2.0,636.0
2.0,-804.0
2.0,-961.0
2.0,-781.0
2.0,-95.0
2.0,1118.0
2.0,732.0
2.0,-894.0
2.0,-1593.0
2.0,-3951.0
2.0,-954.0
2.0,-783.0
2.0,719.0
2.0,-369.0
2.0,-4596.0
2.0,822.0
2.0,-1464.0
2.0,-2652.0
2.0,-4248.0
2.0,-3462.0
2.0,-1952.0
2.0,-2438.0
2.0,-1042.0
2.0,-481.0
2.0,-1955.0
2.0,-108.0
2.0,-4543.0
2.0,-3186.0
2.0,-1167.0
2.0,-3085.0
2.0,-3452.0
2.0,-3630.0
2.0,-2221.0
2.0,-3048.0
2.0,-3829.0
2.0,-2286.0
2.0,-981.0
2.0,-3866.0
2.0,-2663.0
2.0,-849.0
2.0,-763.0
2.0,-508.0
2.0,-1555.0
2.0,-4548.0
2.0,-4150.0
2.0,-4687.0
2.0,-239.0
2.0,1825.0
2.0,-4032.0
2.0,-4141.0
2.0,-876.0
2.0,-2893.0
2.0,-236.0
2.0,-1608.0
2.0,357.0
2.0,-959.0
2.0,-1731.0
2.0,860.0
2.0,-2335.0
2.0,-3230.0
2.0,-3136.0
2.0,-524.0
2.0,-803.0
2.0,-1010.0
2.0,1227.0
2.0,-1768.0
2.0,-666.0
2.0,1276.0
2.0,-2885.0
2.0,-1583.0
2.0,207.0
2.0,-2072.0
2.0,-2628.0
2.0,798.0
2.0,-5009.0
2.0,-3459.0
2.0,-6345.0
2.0,-4640.0
2.0,-6114.0
2.0,-5633.0
2.0,-5409.0
2.0,-4495.0
2.0,-3288.0
2.0,-3342.0
2.0,-4011.0
2.0,-2482.0
2.0,-2545.0
2.0,-1209.0
2.0,-747.0
2.0,-1070.0
2.0,-3117.0
2.0,-3608.0
2.0,-4394.0
2.0,-4335.0
2.0,-4496.0
2.0,-6022.0
2.0,-3466.0
2.0,-4391.0
2.0,-2508.0
2.0,-2309.0
2.0,-3224.0
2.0,-3384.0
2.0,-2389.0
2.0,-4909.0
2.0,-2889.0
2.0,8371.0
2.0,10855.0
2.0,9360.0
2.0,7289.0
2.0,8146.0
2.0,7660.0
2.0,6236.0
2.0,7772.0
2.0,7708.0
2.0,10494.0
2.0,7309.0
2.0,8479.0
2.0,9164.0
2.0,12059.0
2.0,6962.0
2.0,5755.0
2.0,8196.0
2.0,8281.0
2.0,9895.0
2.0,8610.0
2.0,7809.0
2.0,8465.0
2.0,9201.0
2.0,7037.0
2.0,8190.0
2.0,8633.0
2.0,11005.0
2.0,11820.0
2.0,9886.0
2.0,12123.0
2.0,7479.0
2.0,8246.0
2.0,9493.0
2.0,10339.0
2.0,9527.0
2.0,9795.0
2.0,9080.0
2.0,9272.0
2.0,10235.0
2.0,8774.0
2.0,8936.0
2.0,9062.0
2.0,8305.0
2.0,9755.0
2.0,6143.0
2.0,12655.0
2.0,11707.0
2.0,14298.0
2.0,20968.0
2.0,21462.0
2.0,19743.0
2.0,22912.0
2.0,19362.0
2.0,25086.0
2.0,23569.0
2.0,21833.0
2.0,22551.0
2.0,21246.0
2.0,21455.0
2.0,21771.0
2.0,23138.0
2.0,17255.0
2.0,23381.0
2.0,23018.0
2.0,20493.0
2.0,19331.0
2.0,22560.0
2.0,23444.0
2.0,19959.0
2.0,20134.0
2.0,30483.0
2.0,32180.0
2.0,31715.0
2.0,35671.0
2.0,33836.0
2.0,36533.0
2.0,37264.0
2.0,35197.0
2.0,35162.0
2.0,36890.0
2.0,34231.0
2.0,27540.0
2.0,35257.0
2.0,39062.0
2.0,45465.0
2.0,46527.0
2.0,46806.0
2.0,44795.0
2.0,44290.0
2.0,46783.0
2.0,44622.0
2.0,50400.0
2.0,48934.0
2.0,46612.0
2.0,50414.0
2.0,42532.0
2.0,48352.0
2.0,46470.0
2.0,48587.0
2.0,45013.0
2.0,43444.0
2.0,45714.0
2.0,44976.0
2.0,48493.0
2.0,43507.0
2.0,46870.0
2.0,41228.0
2.0,46040.0
2.0,41674.0
2.0,46027.0
2.0,45055.0
2.0,40556.0
2.0,45199.0
2.0,46150.0
2.0,44569.0
2.0,49274.0
2.0,42619.0
2.0,31150.0
2.0,30973.0
2.0,32038.0
2.0,33038.0
2.0,30682.0
2.0,35278.0
2.0,33489.0
2.0,30711.0
2.0,36824.0
2.0,38569.0
2.0,33394.0
2.0,47103.0
2.0,46786.0
2.0,45492.0
2.0,43233.0
2.0,46056.0
